Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_Login,379,345,306,366,501,1623,243,2168,0.528%,.34829,1.00,0.21
02_Get_Curent_User,378,97,89,110,126,267,72,564,0.529%,.34765,0.83,0.19
03_Get_Products,378,266,279,327,340,392,71,1135,0.529%,.34762,15.25,0.19
04_Search_Products,377,122,98,194,206,239,73,394,0.531%,.34748,6.26,0.19
05_Get_Carts,377,114,93,193,203,233,72,716,0.531%,.34750,0.88,0.19
06_Get_Cart,377,108,90,185,199,246,70,416,0.000%,.34752,0.92,0.19
Write_To_CSV,377,1,1,1,2,3,0,10,0.000%,.34759,0.00,0.00
TOTAL,2643,150,99,313,331,501,0,2168,0.378%,2.42809,25.10,1.15
