Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01_Login,4324,567,246,5004,503.77,5.481%,7.58172,21.91,4.31,2959.0
02_Get_Curent_User,4315,131,68,6341,238.49,5.492%,7.57315,17.75,3.91,2399.8
03_Get_Products,4313,259,70,2097,97.65,5.495%,7.56797,315.90,3.96,42743.3
04_Search_Products,4309,124,69,3921,88.64,5.500%,7.56672,120.43,4.07,16298.1
05_Get_Carts,4305,112,68,4159,84.27,5.528%,7.56435,18.90,4.03,2558.5
06_Get_Cart,4305,119,68,1793,76.03,0.023%,7.56426,30.82,3.99,4172.8
Write_To_CSV,4304,0,0,23,0.85,0.000%,7.56443,0.00,0.00,.0
TOTAL,30175,188,0,6341,278.72,3.934%,52.90899,525.18,24.24,10164.3
