Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_Login,4324,567,324,1557,2080,2113,246,5004,5.481%,7.58172,21.91,4.31
02_Get_Curent_User,4315,131,92,117,287,1564,68,6341,5.492%,7.57315,17.75,3.91
03_Get_Products,4313,259,263,329,342,392,70,2097,5.495%,7.56797,315.90,3.96
04_Search_Products,4309,124,99,199,208,275,69,3921,5.500%,7.56672,120.43,4.07
05_Get_Carts,4305,112,94,188,201,233,68,4159,5.528%,7.56435,18.90,4.03
06_Get_Cart,4305,119,94,199,235,363,68,1793,0.023%,7.56426,30.82,3.99
Write_To_CSV,4304,0,1,1,2,2,0,23,0.000%,7.56443,0.00,0.00
TOTAL,30175,188,100,325,513,1645,0,6341,3.934%,52.90899,525.18,24.24
